Id,Word,English,Pinyin,Example,Translation,Book,Lesson,Dialog,NW,PN,OofC
1,你,(singular) you,nǐ,你今天有心思学习吗？,Are you in tune for study today?,1,1,1,1,,
2,好,"good, fine",hǎo,要发音好就必须自觉地学习语音。,To have a good pronunciation you have to study phonetics conscientiously.,1,1,1,2,,
3,您,(polite) you,nín,,,1,1,2,3,,HSK 2
4,你们,(plural) you,nǐ men,请你们研究一下。,I hope you will study these questions.,1,1,2,4,,
5,对不起,to be sorry,duì bu qǐ,对不起，委屈你了。,Sorry to have troubled you with all such inconvenience.,1,1,3,5,,
6,没关系,"that's OK, it doesn't matter",méi guān xi,你如果迟到也没关系。,It doesn’t matter if you are late.,1,1,3,6,,
7,谢谢,to thank,xiè xie,谢谢你，朋友。,"Thank you, [my] friend.",1,2,1,1,,
8,不,"no, not",bù,她一点不爱做家务。,She is not at all domesticated.,1,2,1,2,,
9,不客气,"you’re welcome, don’t mention it",bù kè qi,不客气。,You are very welcome.,1,2,2,3,,
10,再见,good bye (lit. see you again),zài jiàn,再见，小林。,"Good-bye, Xiao Lin.",1,2,3,4,,
11,叫,"to call, to be called",jiào,我叫珍妮，很高兴认识你。,My name is Jenny. Nice to meet you.,1,3,1,1,,
12,什么,what,shén me,学习一门外语的最佳途径是什么呢？,Which is the best way to learn a language?,1,3,1,2,,
13,名字,name,míng zi,这里没有人叫那个名字。,No one lives here by that name.,1,3,1,3,,
14,我,"I, me",wǒ,我想跟她谈谈我的薪水问题。,I want to speak to her in the matter of my salary.,1,3,1,4,,
15,是,to be,shì,你上学时学的都是哪些语言？,Which languages did you study at school?,1,3,2,5,,
16,老师,teacher,lǎo shī,你要认真听取老师的意见。,You should listen carefully to [your] teacher's opinions.,1,3,2,6,,
17,吗,question particle,ma,你向她求婚了吗？,Did you ever pop the question to her.,1,3,2,7,,
18,学生,student,xué sheng,考试不能过份地催促学生。,The exam should not rush the student unduly.,1,3,2,8,,
19,人,"human, person",rén,这是幢适合于人居住的房子吗？,Is it a house fit for human habitation?,1,3,3,9,,
20,美国,USA,měi guó,美国用法在某些方面与英国用法不同。,American usage is different from British usage in some respects.,1,3,3,,3,
21,中国,China,zhōng guó,中国东临太平洋。,China faces the Pacific on the east.,1,3,3,,2,
22,她,she,tā,因为她生病，所以她没来上班。,"Because she was sick, she did not come to work.",1,4,1,1,,
23,谁,who,shéi,谁来当裁判？,Who is going to umpire?,1,4,1,2,,
24,的,attribute particle,de,他们的学习小组正在活动。,Their study group is in motion.,1,4,1,3,,
25,汉语,Chinese (language),hàn yǔ,汉语有四声。,Chinese has four tones.,1,4,1,4,,
26,哪,which,nǎ,这两套衣服你喜欢哪一套？,Which of these two suits do you like?,1,4,2,5,,
27,国,country,guó,害国殃民,Harm the nation and the country,1,4,2,6,,
