Id,Traditional,Simplified,English,HSK,HSK 5（二）词语搭配,Img,Txt,Pinyin,Explanation,Example,Example Explanation,Translation,Book,Lesson,Dialog,NW,PN,OofC,Alternative,Grammar Reference,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Length,Character Phrase,Instagram Image Created
1,你,你,(singular) you,1,,TRUE,FALSE,nǐ,你，就是 you。,你今天有心思学习吗？,也就是问，今天你想要学习吗？,Are you in tune for study today?,1,1,1,1,,,,,,,,,nǐ jīntiān yǒuxīn sī xuéxí ma,1,你、我、他,
2,好,好,"good, fine",1,,TRUE,FALSE,hǎo,好，就是很好。,要发音好就必须自觉地学习语音。,也就是说，要想发音好，你必须认真学习语音。,To have a good pronunciation you have to study phonetics conscientiously.,1,1,1,2,,,,,,,,,yào fāyīn hǎo jiù bìxū zìjué dì xuéxí yǔyīn,1,好坏,
3,您,您,(polite) you,2,,FALSE,FALSE,nín,,,,,1,1,2,3,,HSK 2,,,,,,,,1,您好,
4,你們,你们,(plural) you,1,,TRUE,FALSE,nǐ men,你们，就是你。,请你们研究一下。,也就是说，我希望你能研究这些问题。,I hope you will study these questions.,1,1,2,4,,,,,,,,,qǐng nǐmen yánjiū yīxià,2,,
5,對不起,对不起,to be sorry,1,,TRUE,FALSE,duì bu qǐ,对不起，就是抱歉、不好意思。,对不起，委屈你了。,也就是说，很抱歉给您带来这么多不便。,Sorry to have troubled you with all such inconvenience.,1,1,3,5,,,,,,,,,duìbuqǐ wěiqu nǐ le,3,,
6,沒關係,没关系,"that's OK, it doesn't matter",1,,TRUE,FALSE,méi guān xi,没关系，就是无所谓。,你如果迟到也没关系。,也就是说，你迟到没关系。,It doesn’t matter if you are late.,1,1,3,6,,,,,,,,,nǐ rúguǒ chídào yě méiguānxi,3,,
7,謝謝,谢谢,to thank,1,,TRUE,FALSE,xiè xie,谢谢，就是感谢。,谢谢你，朋友。,"Thank you, [my] friend.","Thank you, [my] friend.",1,2,1,1,,,,,,,,,xièxie nǐ péngyou,2,,Yes
8,不,不,"no, not",1,,TRUE,TRUE,bù,不，就是不是。,她一点不爱做家务。,也就是说，她一点也不驯化。,She is not at all domesticated.,1,2,1,2,,,,,,,,,tā yīdiǎnbù ài zuò jiāwù,1,不要,
9,不客氣,不客气,"you’re welcome, don’t mention it",1,,TRUE,TRUE,bù kè qi,不客气，就是别客气。,不客气。,You are very welcome.,You are very welcome.,1,2,2,3,,,,,,,,,bùkèqi,3,,
10,再見,再见,good bye (lit. see you again),1,,TRUE,FALSE,zài jiàn,再见，就是 good bye。,再见，小林。,也就是跟他说拜拜。,"Good-bye, Xiao Lin.",1,2,3,4,,,,,,,,,zàijiàn Xiǎolín,2,,
11,叫,叫,"to call, to be called",1,,TRUE,FALSE,jiào,叫，就是呼叫。,我叫珍妮，很高兴认识你。,也就是说，我叫珍妮。很高兴认识你。,My name is Jenny. Nice to meet you.,1,3,1,1,,,,,,,,,wǒ jiào zhēn nī hěn gāoxìng rènshi nǐ,1,你叫什么名字,Yes
12,什麼,什么,what,1,,TRUE,FALSE,shén me,“什么”是个疑问代词。,学习一门外语的最佳途径是什么呢？,也就是问，学习一门语言的最好方法是什么？,Which is the best way to learn a language?,1,3,1,2,,,,1.3.1,,,,,xuéxí yī mén wàiyǔ de zuìjiā tújìng shì shénme ne,2,,
13,名字,名字,name,1,,TRUE,FALSE,míng zi,名字，就是名称。,这里没有人叫那个名字。,也就是说，没有人以这个名字住在这里。,No one lives here by that name.,1,3,1,3,,,,,,,,,zhèlǐ méiyǒu rén jiào nàge míngzi,2,,
14,我,我,"I, me",1,,TRUE,FALSE,wǒ,我，就是我自己。,我想跟她谈谈我的薪水问题。,也就是说，我想和她谈谈我的薪水问题。,I want to speak to her in the matter of my salary.,1,3,1,4,,,,,,,,,wǒ xiǎng gēn tā tántán wǒ de xīnshuǐ wèntí,1,你、我、他,
15,是,是,to be,1,,TRUE,FALSE,shì,是，就是成为。,你上学时学的都是哪些语言？,也就是问，你在学校学过哪些语言？,Which languages did you study at school?,1,3,2,5,,,,1.3.2,,,,,nǐ shàngxué shí xué de dōu shì nǎxiē yǔyán,1,是不是,
16,老師,老师,teacher,1,,TRUE,FALSE,lǎo shī,老师，就是教授知识的人。,你要认真听取老师的意见。,也就是说，你应该认真听取老师的意见。,You should listen carefully to [your] teacher's opinions.,1,3,2,6,,,,,,,,,nǐ yào rènzhēn tīngqǔ lǎoshī de yìjiàn,2,,Yes
17,嗎,吗,question particle,1,,TRUE,FALSE,ma,吗，就是问题粒子。,你向她求婚了吗？,也就是问，你有没有向她提出过这个问题？,Did you ever pop the question to her.,1,3,2,7,,,,1.3.3,,,,,nǐ xiàng tā qiúhūn le ma,1,你好吗,
18,學生,学生,student,1,,TRUE,FALSE,xué sheng,学生，就是学习的人。,考试不能过份地催促学生。,也就是说，考试不应过分催促学生。,The exam should not rush the student unduly.,1,3,2,8,,,,,,,,,kǎoshì bùnéng guòfèn dì cuīcù xuésheng,2,,
19,人,人,"human, person",1,,TRUE,FALSE,rén,人，就是 human。,这是幢适合于人居住的房子吗？,也就是问，这房子适合人类居住吗？,Is it a house fit for human habitation?,1,3,3,9,,,,,,,,,zhè shì zhuàng shì héyú rén jūzhù de fángzi ma,1,一个人,
20,美國,美国,USA,1,,TRUE,FALSE,měi guó,美国，就是 USA。,美国用法在某些方面与英国用法不同。,也就是说，美国用法在某些方面不同于英国用法。,American usage is different from British usage in some respects.,1,3,3,,3,,,,,,,,Měiguó yòngfǎ zài mǒuxiē fāngmiàn yǔ Yīngguó yòngfǎ bùtóng,2,,Yes
21,中國,中国,China,1,,TRUE,FALSE,zhōng guó,中国，就是 China。,中国东临太平洋。,China faces the Pacific on the east.,China faces the Pacific on the east.,1,3,3,,2,,,,,,,,Zhōngguó dōng lín Tàipíng Yáng,2,,
22,她,她,she,1,,TRUE,FALSE,tā,她，就是 she。,因为她生病，所以她没来上班。,也就是说，因为她生病了，她没有来上班。,"Because she was sick, she did not come to work.",1,4,1,1,,,,,,,,,yīnwèi tā shēngbìng suǒyǐ tā méi lái shàngbān,1,你、我、他,
23,誰,谁,who,1,,TRUE,FALSE,shéi,谁，就是 who。,谁来当裁判？,也就是问，谁担任裁判？,Who is going to umpire?,1,4,1,2,,,,1.4.1,,,,,shéi lái dāng cáipàn,1,你是谁,
24,的,的,attribute particle,1,,TRUE,FALSE,de,的，就是属性粒子。,他们的学习小组正在活动。,也就是说，他们的研究小组正在行动。,Their study group is in motion.,1,4,1,3,,,,1.4.2,,,,,tāmen de xuéxí xiǎozǔ zhèngzài huódòng,1,你的、我的、他的,
25,漢語,汉语,Chinese (language),1,,TRUE,FALSE,hàn yǔ,汉语，就是中文。,汉语有四声。,也就是说，汉语有四个声调。,Chinese has four tones.,1,4,1,4,,,,,,,,,Hànyǔ yǒu sìshēng,2,,Yes
26,哪,哪,which,1,,TRUE,FALSE,nǎ,哪，就是哪一个。,这两套衣服你喜欢哪一套？,也就是问，你喜欢这两套西装中的哪一套？,Which of these two suits do you like?,1,4,2,5,,,,,,,,,zhè liǎng tào yīfu nǐ xǐhuan nǎ yītào,1,哪个,Yes
27,國,国,country,1,,TRUE,FALSE,guó,国，就是国家。,害国殃民,也就是“伤害国家和国家”。,Harm the nation and the country,1,4,2,6,,,,,,,,,hài guó yāng mín,1,国家,
28,呢,呢,question particle,1,,TRUE,FALSE,ne,呢，就是问题粒子。,你怎样填写你的简历呢？,也就是问，您如何组织您的R_sum_？,How do you organize your résumé?,1,4,2,7,,,,1.4.3,,,,,nǐ zěnyàng tiánxiě nǐ de jiǎnlì ne,1,在哪儿呢,
29,他,他,"he, him",1,,TRUE,FALSE,tā,他，就是 he。,听到他病了，我很难过。,也就是说，我很遗憾得知他的病。,I' m sorry to learn of his illness.,1,4,3,8,,,,,,,,,tīngdào tā bìng le wǒ hěn nánguò,1,你、我、他,
30,同學,同学,classmate,1,,TRUE,FALSE,tóng xué,同学，就是 classmate。,我的同学十八岁。,My classmate is eighteen.,My classmate is eighteen.,1,4,3,9,,,,,,,,,wǒ de tóngxué shíbā suì,2,,
31,朋友,朋友,friend,1,,TRUE,FALSE,péng you,朋友，就是 friend。,他直接到朋友那儿请求帮助。,也就是说，他直接去找朋友寻求帮助。,He went straight to his friend to ask for help,1,4,3,10,,,,,,,,,tā zhíjiē dào péngyou nàr qǐngqiú bāngzhù,2,,
32,家,家,family,1,,TRUE,FALSE,jiā,家，就是家庭。,他们家晚餐吃烤猪肉。,也就是说，这家人晚饭吃了烤猪肉。,The family had roast pork for dinner.,1,5,1,1,,,,,,,,,tāmen jiā wǎncān chī kǎo zhūròu,1,家庭,
33,有,有,"to have, there is/are",1,,TRUE,FALSE,yǒu,有，就是 to have。,有一部分男孩学习很努力。,也就是说，有些男孩努力学习。,Some of the boys study hard.,1,5,1,2,,,,,,,,,yǒu yībùfèn nánhái xuéxí hěn nǔlì,1,有没有,
34,口,口,measure word for counting people in a household,3,,FALSE,FALSE,kǒu,,,,,1,5,1,3,,HSK 3,,,,,,,,1,你家几口人,
35,女兒,女儿,daughter,1,,TRUE,FALSE,nǚ ér,女儿，就是 daughter。,我女儿酷爱滑雪。,也就是说，我女儿喜欢滑雪。,My daughter loved skiing.,1,5,2,4,,,,,,,,,wǒ nǚ'ér kù'ài huáxuě,2,,
36,幾,几,how many,1,,TRUE,FALSE,jǐ,几，就是有多少。,你捉了几条鱼？,也就是问，你钓了多少鱼？,How many fish did you catch?,1,5,2,5,,,,1.5.1,,,,,nǐ zhuō le jǐ tiáo yú,1,几个,
37,歲,岁,years old,1,,TRUE,FALSE,suì,岁，就是 years old。,你几岁了？,也就是问，你多大了？,How old are you?,1,5,2,6,,,,,,,,,nǐ jǐsuì le,1,你几岁,Yes
38,了,了,particle to indicate change,1,,TRUE,FALSE,le,了，就是表示变化的粒子。,他们仔细制订了学习计划。,也就是说，他们制定了一个学习计划。,They elaborated a plan of study.,1,5,2,7,,,,1.5.3,,,,,tāmen zǐxì zhìdìng le xuéxí jìhuà,1,走了、来了、去了,
39,今年,今年,this year,1,,TRUE,FALSE,jīn nián,今年，就是 this year。,我盼望今年暑假见到你。,也就是说，我期待着这个暑假能见到你。,I' m looking forward to seeing you this summer vacation.,1,5,2,8,,,,,,,,,wǒ pànwàng jīnnián shǔjià jiàndào nǐ,2,,
40,多,多,"how (asking degree, as in “how old”)",1,,TRUE,FALSE,duō,多，就是如何。,他有多高？,也就是问，他身高多少？,How tall is he?,1,5,3,9,,,,1.5.4 “多大”,,,,,tā yǒu duō gāo,1,多少,
41,大,大,old (as in “how old”),1,,TRUE,FALSE,dà,问一个人多大，就是问他的年龄。,你多大了？？,也就是问，你能告诉我你多大了吗？,Could you tell me how old you are?,1,5,3,10,,,,1.5.4 “多大”,,,,,nǐ duōdà le,1,多少,
42,會,会,"can, to know how",1,,TRUE,FALSE,huì,会，就是可以，知道怎么做。,他会开车，但他不会打字。,也就是说，他会开车，但不会打字。,"He can drive, but he can not type.",1,6,1,1,,,,1.6.1,,,,,tā huì kāichē dàn tā bùhuì dǎzì,1,会不会,
43,說,说,"to speak, to say",1,,TRUE,FALSE,shuō,说，就是 to speak。,好酒能使人说真话。,也就是说，好酒能使猫说话。,Good ale will make a cat speak.,1,6,1,2,,,,,,,,,hǎo jiǔ néng shǐ rén shuō zhēn huà,1,说话,
44,媽媽,妈妈,mother,1,,TRUE,FALSE,mā ma,妈妈，就是母亲。,妈妈因为她调皮打她屁股。,也就是说，母亲因她淘气而打她。,Mother spanked her for being naughty.,1,6,1,3,,,,,,,,,māma yīnwèi tā tiáopí dǎ tā pìgu,2,,
45,菜,菜,"dish, food",1,,TRUE,FALSE,cài,菜，就是食物。,这个菜下饭。,也就是说，这道菜和米饭很相配。,This dish goes well with rice.,1,6,2,4,,,,,,,,,zhège cài xià fàn,1,蔬菜,
46,很,很,"very, quite",1,,TRUE,FALSE,hěn,很，就是非常。,学一门外语必然很困难。,也就是说，学习外语必然是困难的。,The study of a foreign language is necessarily difficult.,1,6,2,5,,,,1.6.2,,,,,xué yī mén wàiyǔ bìrán hěn kùnnan,1,很好,
47,好吃,好吃,"delicious, tasty",2,,FALSE,FALSE,hǎo chī,,,,,1,6,2,6,,HSK 2,,,,,,,,2,,
48,做,做,to make,1,,TRUE,FALSE,zuò,做，就是使。,做物理实验。,,make experiment in physics,1,6,2,7,,,,,,,,,zuò wùlǐ shíyàn,1,做实验,
49,寫,写,to write,1,,TRUE,FALSE,xiě,写，就是 to write。,我想写小说。,也就是说，我想写一部小说。,I want to write a novel.,1,6,3,8,,,,,,,,,wǒ xiǎng xiě xiǎoshuō,1,写字,Yes
50,漢字,汉字,Chinese character,1,,TRUE,FALSE,hàn zì,汉字，就是 Chinese character。,他们首创一种新的汉字输入法。,也就是说，他们开创了一种处理和输入中国数据到计算机的新方法。,They originated a new way of processing and inputting Chinese data into computers.,1,6,3,9,,,,,,,,,tāmen shǒuchuàng yīzhǒng xīn de hànzì shūrùfǎ,2,,
51,字,字,"character, ideograph",1,,TRUE,FALSE,zì,字，就是字符，表意字符。,“王”字的笔画有四个。,也就是说，王这个字有四个笔画。,The character王has four strokes.,1,6,3,10,,,,,,,,,“ wáng” zì de bǐhuà yǒu sì gè,1,字,
52,怎麼,怎么,"how (as in ""how you write"")",1,,TRUE,FALSE,zěn me,怎么，就是如何。,英语的疑问句是怎么构成的？,也就是问，问题是如何用英语提出的？,How are questions made in English ?,1,6,3,11,,,,1.6.3,,,,,Yīngyǔ de yíwènjù shì zěnme gòuchéng de,2,,
53,讀,读,to read,1,,TRUE,FALSE,dú,读，就是阅读。,她一天读几小时英文？,也就是问，她每天学习多少小时英语？,How many hours a day does she study English?,1,6,3,12,,,,,,,,,tā yī tiān dú jǐ xiǎoshí Yīngwén,1,,
54,請,请,please,1,,TRUE,FALSE,qǐng,请，就是拜托。,请你签字。,也就是说，请签名。,Please affix your signature.,1,7,1,1,,,,1.10.4,,,,,qǐng nǐ qiānzì,1,,
55,問,问,ask,2,,FALSE,FALSE,wèn,,,,,1,7,1,2,,HSK 2,,,,,,,,1,,
56,今天,今天,today,1,,TRUE,TRUE,jīn tiān,今天，就是 today。,他今天闹情绪了。,也就是说，他今天心情不好。,He is in a bad mood today.,1,7,1,3,,,,,,,,,tā jīntiān nàoqíngxù le,2,,Yes
57,號,号,-th day (when telling dates),1,,TRUE,FALSE,hào,号，就是-第天。,明天几号？,也就是问，明天几号？,What date will tomorrow be ?,1,7,1,4,,,,1.7.1,,,,,míngtiān jǐ hào,1,,
58,月,月,month,1,,TRUE,FALSE,yuè,月，就是 month。,保险有效期还有一个月。,也就是说，保险期再延长一个月。,The insurance runs for another month.,1,7,1,5,,,,1.7.1,,,,,bǎoxiǎn yǒuxiàoqī háiyǒu yī gè yuè,1,,
59,星期,星期,week,1,,TRUE,FALSE,xīng qī,星期，就是周。,我这星期的时间安排很紧。,也就是“我这周的日程安排很忙。”,"I've got a very busy timetable this week, ie a lot of appointments, etc.",1,7,1,6,,,,1.7.1,,,,,wǒ zhè xīngqī de shíjiān ānpái hěn jǐn,2,,
60,昨天,昨天,yesterday,1,,TRUE,TRUE,zuó tiān,昨天，就是 yesterday。,我看过昨天的报价表。,I saw yesterday's quote.,I saw yesterday's quote.,1,7,2,7,,,,,拼凑不回的昨天,https://youtu.be/TCHIjWQQpc0?t=153,,,wǒ kàn guò zuótiān de bàojià biǎo,2,,
61,明天,明天,tomorrow,1,,TRUE,TRUE,míng tiān,明天，就是 tomorrow。,明天放假。,也就是说，明天是假期。,Tomorrow will be a holiday.,1,7,2,8,,,,,到了明天你就离开我身边,https://youtu.be/TCHIjWQQpc0?t=62,dàoliǎo míngtiān nǐ jiù líkāi wǒ shēnbiān ,You'll leave me tomorrow.,míngtiān fàngjià,2,,Yes
62,去,去,to go,1,,TRUE,FALSE,qù,去，就是外带。,出于无奈她才去。,也就是说，她忍不住走了。,She couldn't help but go.,1,7,3,9,,,,1.7.3,,,,,chūyú wúnài tā cái qù,1,,
63,學校,学校,school,1,,TRUE,FALSE,xué xiào,学校，就是 school。,她亲自创办了一所培训学校。,也就是说，她自己开办了一所培训学校。,She started a training school herself.,1,7,3,10,,,,,,,,,tā qīnzì chuàngbàn le yī suǒ péixùn xuéxiào,2,,Yes
64,看,看,"to look at, to watch, to read",1,,TRUE,FALSE,kàn,看，就是读。,你看那个超人气球,意思是说，看那个超人气球！,Look at that Superman balloon!,1,7,3,11,,,,,,,,,nǐ kàn nàge chāorén qìqiú,1,,
65,書,书,book,1,,TRUE,FALSE,shū,书，就是 book。,请帮助我把屋子里的书拿来。,也就是说，把房间里的书带给我。,Bring me the book from the room.,1,7,3,12,,,,,,,,,qǐng bāngzhù wǒ bǎ wūzi lǐ de shū nálái,1,,
66,想,想,to want,1,,TRUE,FALSE,xiǎng,想，就是想要。,你想学什么？,也就是问，你想学什么？,What do you want to study?,1,8,1,1,,,,1.8.1,,,,,nǐ xiǎng xué shénme,1,,
67,喝,喝,to drink,1,,TRUE,FALSE,hē,喝，就是喝酒。,下班后来我家喝一杯。,也就是说，下班后过来喝一杯。,Come by for a drink after work.,1,8,1,2,,,,,,,,,xiàbān hòulái wǒ jiā hē yī bēi,1,,
68,茶,茶,tea,1,,TRUE,FALSE,chá,茶，就是 tea。,我比较喜欢淡一点的茶。,也就是说，我喜欢喝淡茶。,I like it my tea rather weak.,1,8,1,3,,,,,,,,,wǒ bǐjiàoxǐhuān dàn yīdiǎn de chá,1,,
69,吃,吃,to eat,1,,TRUE,FALSE,chī,吃，就是 to eat。,别客气，开始吃吧！,意思是说，不要太客气。开始吃饭！,Don't be too polite. Start eating!,1,8,1,4,,,,,,,,,biékèqi kāishǐ chī ba,1,,Yes
70,米飯,米饭,cooked rice,1,,TRUE,FALSE,mǐ fàn,米饭，就是熟米饭。,我喜欢米饭。,I like rice.,I like rice.,1,8,1,5,,,,,,,,,wǒ xǐhuan mǐfàn,2,,
71,下午,下午,afternoon,1,,TRUE,FALSE,xià wǔ,下午，就是 afternoon。,下午突然下起了大雪。,也就是说，下午，突然下了一场大雪。,"During the afternoon, there was a sudden heavy fall of snow.",1,8,2,6,,,,,,,,,xiàwǔ tūrán xià qǐ le Dàxuě,2,,
72,商店,商店,"shop, store",1,,TRUE,FALSE,shāng diàn,商店，就是 shop。,商店晚上12点关门。,也就是说，商店营业到午夜。,The shop stays open till midnight.,1,8,2,7,,,,,,,,,shāngdiàn wǎnshang12 diǎn guānmén,2,,
73,買,买,"to buy, to purchase",1,,TRUE,FALSE,mǎi,买，就是 to buy。,我一定给你买本英语读本。,也就是说，我一定会给你买一本英语读物。,I'll buy you an English reader by all means.,1,8,2,8,,,,,,,,,wǒ yīdìng gěi nǐ mǎi běn Yīngyǔ dúběn,1,,
74,個,个,measure word for almost all things,1,,TRUE,FALSE,gè,个，就是几乎所有事物都用量词。,你一个月至少应该看一本书。,也就是说，你至少应该一个月读一本书。,You should read one book a month at least.,1,8,2,9,,,,1.8.3,,,,,nǐ yī gè yuè zhìshǎo yīnggāi kàn yī běn shū,1,,
75,杯子,杯子,"cup, glass",1,,TRUE,TRUE,bēi zi,"杯子，就是 cup, glass。",有裂缝的杯子。,a cup with a crack in it,a cup with a crack in it,1,8,2,10,,,,,,,,,yǒu lièfèng de bēizi,2,,
76,這,这,this,1,,TRUE,FALSE,zhè,这，就是 this。,这可怎么办？,也就是问，我们该怎么办？,What can we do about it?,1,8,3,11,,,,,,,,,zhè kě zěnmebàn,1,,Yes
77,多少,多少,"how many, how much",1,,TRUE,FALSE,duō shǎo,多少，就是多少钱。,一箱装多少件？,也就是问，一个集装箱多少件？,How many pieces one container?,1,8,3,12,,,,1.8.2,,,,,yī xiāng zhuāng duōshao jiàn,2,,
78,錢,钱,money,1,,TRUE,FALSE,qián,钱，就是 money。,我会把钱汇给你。,也就是说，我把钱汇给你。,I'll remit you the money.= I'll remit the money to you.,1,8,3,13,,,,,,,,,wǒ huì bǎ qián huì gěi nǐ,1,,
79,塊,块,1 RMB / 1 dollar,1,,TRUE,FALSE,kuài,块，就是1元人民币/1美元。,他再有几块钱就可以还清债务了。,也就是说，再多付几美元就能让他清白。,Just a few dollars more would clear him.,1,8,3,14,,,,1.8.4,,,,,tā zài yǒu jǐ kuài qián jiù kěyǐ huánqīng zhàiwù le,1,,
80,那,那,that,1,,TRUE,FALSE,nà,那，就是那个。,那是一本令人满意的书。,That is a satisfying book.,That is a satisfying book.,1,8,3,15,,,,,,,,,nàshi yī běn lìngrénmǎnyì de shū,1,,
81,小,小,"small, little",1,,TRUE,FALSE,xiǎo,小，就是 small。,小阅览室,也就是“个人研究carrel”。,individual study carrel,1,9,1,1,,,,,,,,,xiǎo yuèlǎnshì,1,,
82,貓,猫,cat,1,,TRUE,FALSE,māo,猫，就是 cat。,他被那只猫绊倒了。,也就是说，他从猫身上摔了下来。,He tumbled over the cat.,1,9,1,2,,,,,,,,,tā bèi nà zhǐ māo bàndǎo le,1,,
